feature,mean_abs_shap
ca,0.1460101297845512
thal,0.10521151682200978
cp,0.06526321820121374
thalach,0.04718015262502557
oldpeak,0.03642730560702459
sex,0.03582258201294784
restecg,0.034864816457268695
slope,0.03335016623210538
trestbps,0.026125063570934182
age,0.019830842559533733
exang,0.018351605675124092
fbs,0.005371135381361845
chol,0.0010275622924832745
